
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server

  2026-08-12 03:59:18 /kabinet/arsip/dharmakala ........................ ~ 1s

   INFO  Environment modified. Restarting server...

   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server

  2026-08-12 04:01:01 /kabinet/arsip/dharmakala .................. ~ 500.46ms
  2026-08-12 04:01:21 /kabinet/arsip/dharmakala .................. ~ 500.65ms
  2026-08-12 04:01:21 /images/logo/general/ospk384.webp ............ ~ 0.56ms
  2026-08-12 04:01:21 /images/logo/general/osis514.webp ............ ~ 1.29ms
  2026-08-12 04:01:21 /images/potrait/osis/bph/rafif.webp .......... ~ 0.06ms
  2026-08-12 04:01:21 /images/logo/osis/ketua.webp ................. ~ 1.16ms
  2026-08-12 04:01:21 /images/potrait/osis/bph/balqis.webp ......... ~ 0.20ms
  2026-08-12 04:01:21 /images/potrait/osis/bph/aurel.webp .......... ~ 0.07ms
  2026-08-12 04:01:21 /images/potrait/osis/bph/nazwa.webp .......... ~ 0.05ms
  2026-08-12 04:01:21 /images/potrait/osis/bph/aime.webp ........... ~ 0.10ms
  2026-08-12 04:01:21 /images/potrait/osis/bph/dedes.webp .......... ~ 0.44ms
  2026-08-12 04:01:21 /images/potrait/osis/bph/rasya.webp .......... ~ 0.81ms
  2026-08-12 04:01:21 /images/potrait/osis/bph/arka.webp ........... ~ 1.12ms
  2026-08-12 04:01:21 /images/potrait/osis/bph/charlove.webp ....... ~ 2.40ms
  2026-08-12 04:01:21 /images/logo/osis/pudo.webp .................. ~ 2.79ms
  2026-08-12 04:01:21 /images/potrait/osis/pudo/nasywa.webp ........ ~ 0.66ms
  2026-08-12 04:01:21 /images/potrait/osis/pudo/salomo.webp ........ ~ 0.97ms
  2026-08-12 04:01:21 /images/potrait/osis/pudo/izwa.webp .......... ~ 0.66ms
  2026-08-12 04:01:21 /images/potrait/osis/pudo/angkasa.webp ....... ~ 1.01ms
  2026-08-12 04:01:21 /images/potrait/osis/pudo/nadhira.webp ....... ~ 1.29ms
  2026-08-12 04:01:21 /images/potrait/osis/pudo/benika.webp ........ ~ 1.47ms
  2026-08-12 04:01:21 /images/potrait/osis/pudo/quinsha.webp ....... ~ 1.77ms
  2026-08-12 04:01:21 /images/potrait/osis/k3or/kezia.webp ......... ~ 2.09ms
  2026-08-12 04:01:21 /images/potrait/osis/k3or/zaidan.webp ........ ~ 2.39ms
  2026-08-12 04:01:21 /images/logo/osis/k3or.webp .................. ~ 2.98ms
  2026-08-12 04:01:21 /images/potrait/osis/k3or/zharif.webp ........ ~ 1.85ms
  2026-08-12 04:01:21 /images/potrait/osis/k3or/yosa.webp .......... ~ 2.06ms
  2026-08-12 04:01:21 /images/potrait/osis/k3or/lala.webp .......... ~ 1.97ms
  2026-08-12 04:01:21 /images/potrait/osis/k3or/rheyvan.webp ....... ~ 2.48ms
  2026-08-12 04:01:21 /images/potrait/osis/k3or/gendis.webp ........ ~ 0.95ms
  2026-08-12 04:01:21 /images/potrait/osis/sasbud/bitha.webp ....... ~ 0.47ms
  2026-08-12 04:01:21 /images/potrait/osis/sasbud/fadel.webp ....... ~ 1.22ms
